x,y,timestamp,subarray
17459676,0.08991,2025-04-30T12:00:05.000626+00:00,0
17459712,0.08549,2025-04-30T12:00:05.000626+00:00,0
17459748,0.08677,2025-04-30T12:00:05.000626+00:00,0
17459784,0.08868,2025-04-30T12:00:05.000626+00:00,0
17459820,0.09378,2025-04-30T12:00:05.000626+00:00,0
17459856,0.11527,2025-04-30T12:00:05.000626+00:00,0
17459892,0.1203,2025-04-30T12:00:05.000626+00:00,0
17459928,0.0999,2025-04-30T12:00:05.000626+00:00,0
17459964,0.08781,2025-04-30T12:00:05.000626+00:00,0
17460000,0.00708,2025-04-30T12:00:05.000626+00:00,0
17460036,0,2025-04-30T12:00:05.000626+00:00,0
17460072,-0.001,2025-04-30T12:00:05.000626+00:00,0
17460108,-0.00621,2025-04-30T12:00:05.000626+00:00,0
17460144,-0.003,2025-04-30T12:00:05.000626+00:00,0
17460180,-2e-05,2025-04-30T12:00:05.000626+00:00,0
17460216,0.01727,2025-04-30T12:00:05.000626+00:00,0
17460252,0.07618,2025-04-30T12:00:05.000626+00:00,0
17460288,0.099,2025-04-30T12:00:05.000626+00:00,0
17460324,0.1254,2025-04-30T12:00:05.000626+00:00,0
17460360,0.17643,2025-04-30T12:00:05.000626+00:00,0
17460396,0.128,2025-04-30T12:00:05.000626+00:00,0
17460432,0.10801,2025-04-30T12:00:05.000626+00:00,0
17460468,0.09753,2025-04-30T12:00:05.000626+00:00,0
17460504,0.09295,2025-04-30T12:00:05.000626+00:00,0
17460540,0.08745,2025-04-30T12:00:05.000626+00:00,0
17460576,0.08593,2025-04-30T12:00:05.000626+00:00,0
17460612,0.08664,2025-04-30T12:00:05.000626+00:00,0
17460648,0.0859,2025-04-30T12:00:05.000626+00:00,0
17460684,0.0807,2025-04-30T12:00:05.000626+00:00,0
17460720,0.08725,2025-04-30T12:00:05.000626+00:00,0
17460756,0.08741,2025-04-30T12:00:05.000626+00:00,0
17460792,0.08518,2025-04-30T12:00:05.000626+00:00,0
17460828,0,2025-04-30T12:00:05.000626+00:00,0
17460864,-0.003,2025-04-30T12:00:05.000626+00:00,0
17460900,-0.0401,2025-04-30T12:00:05.000626+00:00,0
17460936,-0.10807,2025-04-30T12:00:05.000626+00:00,0
17460972,-0.14242,2025-04-30T12:00:05.000626+00:00,0
17461008,-0.1181,2025-04-30T12:00:05.000626+00:00,0
17461044,-0.04999,2025-04-30T12:00:05.000626+00:00,0
17461080,-0.00517,2025-04-30T12:00:05.000626+00:00,0
17461116,0.04624,2025-04-30T12:00:05.000626+00:00,0
17461152,0.09617,2025-04-30T12:00:05.000626+00:00,0
17461188,0.12987,2025-04-30T12:00:05.000626+00:00,0
17461224,0.16508,2025-04-30T12:00:05.000626+00:00,0
17461260,0.1267,2025-04-30T12:00:05.000626+00:00,0
17461296,0.10486,2025-04-30T12:00:05.000626+00:00,0
17461332,0.09089,2025-04-30T12:00:05.000626+00:00,0
17461367.999722224,0.09089,2025-04-30T12:00:05.000626+00:00,0
17459676,0.046,2025-04-30T12:00:05.000626+00:00,1
17459712,0.036,2025-04-30T12:00:05.000626+00:00,1
17459748,0.022,2025-04-30T12:00:05.000626+00:00,1
17459784,0.026,2025-04-30T12:00:05.000626+00:00,1
17459820,0.06,2025-04-30T12:00:05.000626+00:00,1
17459856,0.157,2025-04-30T12:00:05.000626+00:00,1
17459892,0.239,2025-04-30T12:00:05.000626+00:00,1
17459928,0.191,2025-04-30T12:00:05.000626+00:00,1
17459964,0.142,2025-04-30T12:00:05.000626+00:00,1
17460000,0.088,2025-04-30T12:00:05.000626+00:00,1
