ds,actual,predicted,window_start,window_end
2025-04-22 12:00:00,0.06976,0.02585654372616386,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 13:00:00,0.07034,-0.01660767528011131,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 14:00:00,0.07845,-0.007447553369059445,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 15:00:00,0.082,0.0326472762427773,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 16:00:00,0.0963,0.05278836921475982,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 17:00:00,0.1149,0.09965230948639747,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 18:00:00,0.17872,0.1328142379017807,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 19:00:00,0.25335,0.14826106168962072,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 20:00:00,0.1577299999999999,0.14868251998033655,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 21:00:00,0.121,0.12922549231132585,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 22:00:00,0.1074899999999999,0.12459337271603788,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-22 23:00:00,0.10172,0.12261102775413835,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 00:00:00,0.09418,0.11168646122667059,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 01:00:00,0.09172,0.11149650726301552,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 02:00:00,0.09032,0.11338247624721842,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 03:00:00,0.09391,0.1069699500092981,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 04:00:00,0.0998,0.10195468216936165,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 05:00:00,0.13181,0.1041542248704983,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 06:00:00,0.1500999999999999,0.11147498109347553,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 07:00:00,0.13074,0.11169762537230776,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 08:00:00,0.10341,0.08115600914610088,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 09:00:00,0.092,0.0553658043427504,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 10:00:00,0.09439,0.06567669658011632,2025-04-19 12:00:00,2025-04-24 12:00:00
2025-04-23 11:00:00,0.08104,0.06647334303157204,2025-04-19 12:00:00,2025-04-24 12:00:00
